지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심적설(cm)
108,서울,2022-01-01,-4.3,,
108,서울,2022-01-02,-1.3,.3,.5
108,서울,2022-01-03,-1.9,0,
108,서울,2022-01-04,-2.5,0,
108,서울,2022-01-05,-2.8,,
108,서울,2022-01-06,-2.2,,
108,서울,2022-01-07,-1.6,,
108,서울,2022-01-08,.3,0,
108,서울,2022-01-09,1.3,,
108,서울,2022-01-10,.5,.9,.9
108,서울,2022-01-11,-7.4,.2,1
108,서울,2022-01-12,-7.7,,.2
108,서울,2022-01-13,-6.4,,
108,서울,2022-01-14,-4.8,,
108,서울,2022-01-15,-1,0,
108,서울,2022-01-16,-2,0,
108,서울,2022-01-17,-5.8,.5,.8
108,서울,2022-01-18,-5.6,,.5
108,서울,2022-01-19,-5.3,1.7,3.5
108,서울,2022-01-20,-5,,2.4
108,서울,2022-01-21,-2.7,,
108,서울,2022-01-22,.3,,
108,서울,2022-01-23,2,,
108,서울,2022-01-24,4.6,,
108,서울,2022-01-25,2.8,.7,
108,서울,2022-01-26,1.3,,
108,서울,2022-01-27,-1.1,,
108,서울,2022-01-28,-2.7,,
108,서울,2022-01-29,-3.6,,
108,서울,2022-01-30,-2.8,,
108,서울,2022-01-31,-.7,1.2,1.8
108,서울,2022-02-01,-1.3,1.7,5
108,서울,2022-02-02,-3.4,,.5
108,서울,2022-02-03,-3.4,,
108,서울,2022-02-04,-5.2,0,
108,서울,2022-02-05,-6.6,,
108,서울,2022-02-06,-3.9,,
108,서울,2022-02-07,-2.5,,
108,서울,2022-02-08,-.1,,
108,서울,2022-02-09,1,,
108,서울,2022-02-10,1.4,,
108,서울,2022-02-11,2.9,,
108,서울,2022-02-12,4.8,,
108,서울,2022-02-13,4.8,,
108,서울,2022-02-14,2.5,1.7,
108,서울,2022-02-15,-4.7,0,
108,서울,2022-02-16,-7.3,0,
108,서울,2022-02-17,-6.2,,
108,서울,2022-02-18,-1.2,,
108,서울,2022-02-19,-1.7,.1,.1
108,서울,2022-02-20,-4.8,,
108,서울,2022-02-21,-3,.1,
108,서울,2022-02-22,-4.5,,
108,서울,2022-02-23,-5.6,,
108,서울,2022-02-24,-2.4,,
108,서울,2022-02-25,3,,
108,서울,2022-02-26,5.4,1.1,
108,서울,2022-02-27,3.7,,
108,서울,2022-02-28,6.8,,
108,서울,2022-03-01,5.8,2.3,
108,서울,2022-03-02,3.5,,
108,서울,2022-03-03,5.8,,
108,서울,2022-03-04,6.9,,
108,서울,2022-03-05,2.3,,
108,서울,2022-03-06,1.4,,
108,서울,2022-03-07,2.8,,
108,서울,2022-03-08,6,,
108,서울,2022-03-09,7.1,,
108,서울,2022-03-10,9.3,,
108,서울,2022-03-11,11.2,,
108,서울,2022-03-12,12.8,2.6,
108,서울,2022-03-13,11.7,42.1,
108,서울,2022-03-14,8.2,8.7,
108,서울,2022-03-15,7.2,,
108,서울,2022-03-16,10.3,,
108,서울,2022-03-17,10.7,1.2,
108,서울,2022-03-18,7.5,0,
108,서울,2022-03-19,3.4,14.6,.7
108,서울,2022-03-20,5.4,0,
108,서울,2022-03-21,5,,
108,서울,2022-03-22,7.1,,
108,서울,2022-03-23,6.2,,
108,서울,2022-03-24,8.2,,
108,서울,2022-03-25,12,10.9,
108,서울,2022-03-26,11.8,19.8,
108,서울,2022-03-27,8.1,,
108,서울,2022-03-28,8.2,,
108,서울,2022-03-29,9.7,,
108,서울,2022-03-30,10.8,.4,
108,서울,2022-03-31,10.9,,
108,서울,2022-04-01,9.2,,
108,서울,2022-04-02,8.2,,
108,서울,2022-04-03,9.6,,
108,서울,2022-04-04,10.3,,
108,서울,2022-04-05,10.3,,
108,서울,2022-04-06,11.7,,
108,서울,2022-04-07,10.9,,
108,서울,2022-04-08,12.9,,
108,서울,2022-04-09,17.8,.5,
108,서울,2022-04-10,18.2,,
108,서울,2022-04-11,19.6,,
108,서울,2022-04-12,19.3,.5,
108,서울,2022-04-13,13.1,1.3,
108,서울,2022-04-14,13.2,,
108,서울,2022-04-15,13.3,,
108,서울,2022-04-16,13.2,,
108,서울,2022-04-17,14,,
108,서울,2022-04-18,15.2,,
108,서울,2022-04-19,15.2,,
108,서울,2022-04-20,15.7,,
108,서울,2022-04-21,16.3,,
108,서울,2022-04-22,15,,
108,서울,2022-04-23,17.7,,
108,서울,2022-04-24,18.5,.3,
108,서울,2022-04-25,20,1.3,
108,서울,2022-04-26,21.9,1,
108,서울,2022-04-27,17.7,,
108,서울,2022-04-28,18.2,0,
108,서울,2022-04-29,13.4,15.5,
108,서울,2022-04-30,13,,
108,서울,2022-05-01,13.4,,
108,서울,2022-05-02,14.2,,
108,서울,2022-05-03,14.8,,
108,서울,2022-05-04,17.8,,
108,서울,2022-05-05,18.9,,
108,서울,2022-05-06,19.6,,
108,서울,2022-05-07,18.4,.5,
108,서울,2022-05-08,15.3,2,
108,서울,2022-05-09,17.9,,
108,서울,2022-05-10,19.9,0,
108,서울,2022-05-11,19.7,0,
108,서울,2022-05-12,20.9,,
108,서울,2022-05-13,19.4,,
108,서울,2022-05-14,15.7,,
108,서울,2022-05-15,16.2,,
108,서울,2022-05-16,17.3,,
108,서울,2022-05-17,20,,
108,서울,2022-05-18,20,1.5,
108,서울,2022-05-19,19.9,,
108,서울,2022-05-20,20.6,,
108,서울,2022-05-21,20.1,,
108,서울,2022-05-22,20.3,,
108,서울,2022-05-23,23,,
108,서울,2022-05-24,22.9,,
108,서울,2022-05-25,21,3.5,
108,서울,2022-05-26,18.7,0,
108,서울,2022-05-27,20,0,
108,서울,2022-05-28,22.3,,
108,서울,2022-05-29,23.1,,
108,서울,2022-05-30,20.8,0,
108,서울,2022-05-31,20.7,,
108,서울,2022-06-01,22.1,,
108,서울,2022-06-02,21.5,,
108,서울,2022-06-03,24.5,,
108,서울,2022-06-04,25.6,,
108,서울,2022-06-05,22.7,0,
108,서울,2022-06-06,19.7,4.3,
108,서울,2022-06-07,20.6,0,
108,서울,2022-06-08,21.2,,
108,서울,2022-06-09,20.9,2.6,
108,서울,2022-06-10,20.9,1.2,
108,서울,2022-06-11,24.6,,
108,서울,2022-06-12,24.6,,
108,서울,2022-06-13,23.6,18,
108,서울,2022-06-14,21.5,0,
108,서울,2022-06-15,17.5,18.5,
108,서울,2022-06-16,20.3,.7,
108,서울,2022-06-17,22.5,,
108,서울,2022-06-18,23.3,0,
108,서울,2022-06-19,23.4,,
108,서울,2022-06-20,25.2,,
108,서울,2022-06-21,26.5,,
108,서울,2022-06-22,25.9,,
108,서울,2022-06-23,24.3,103,
108,서울,2022-06-24,22.6,19.1,
108,서울,2022-06-25,26,,
108,서울,2022-06-26,26.5,,
108,서울,2022-06-27,26.8,6.1,
